Volume,Doors,Style
0.2727272727272727,0.6666666666666666,Sedan
0.3236363636363636,0.6666666666666666,Sedan
0.3090909090909091,0.9999999999999999,Sedan
0.3745454545454545,0.6666666666666666,SUV
0.2545454545454545,0.6666666666666666,Sedan
0.33818181818181814,0.6666666666666666,Sedan
0.30181818181818176,0.6666666666666666,SUV
0.31999999999999995,0.6666666666666666,Sedan
0.3163636363636364,0.6666666666666666,Sedan
0.4545454545454545,0.6666666666666666,Van
0.3090909090909091,0.6666666666666666,Jeep
0.2909090909090909,0.6666666666666666,Sedan
0.4,0.6666666666666666,Pickup
0.6072727272727273,0.9999999999999999,Van
0.3090909090909091,0.6666666666666666,Sedan
0.32727272727272727,0.6666666666666666,Sedan
0.3090909090909091,0.0,Sedan
0.39636363636363636,0.9999999999999999,SUV
0.43272727272727274,0.9999999999999999,SUV
0.25090909090909086,0.6666666666666666,SUV
0.2909090909090909,0.9999999999999999,SUV
0.4036363636363637,0.6666666666666666,SUV
0.52,0.9999999999999999,SUV
0.49090909090909085,0.9999999999999999,Van
0.29454545454545455,0.6666666666666666,SUV
0.28,0.6666666666666666,Sedan
0.2290909090909091,0.6666666666666666,Sedan
0.2581818181818182,0.0,Sedan
0.32727272727272727,0.6666666666666666,Sedan
0.04727272727272727,0.6666666666666666,SUV
0.26909090909090905,0.6666666666666666,Sedan
0.3527272727272728,0.6666666666666666,Pickup
0.3527272727272728,0.6666666666666666,Pickup
0.3163636363636364,0.6666666666666666,Sedan
0.31999999999999995,0.6666666666666666,Sedan
0.3490909090909091,0.9999999999999999,SUV
0.32727272727272727,0.6666666666666666,SUV
0.39636363636363636,0.6666666666666666,Pickup
0.25090909090909086,0.6666666666666666,Sedan
0.43272727272727274,0.6666666666666666,SUV
0.4036363636363637,0.6666666666666666,Jeep
0.2909090909090909,0.9999999999999999,SUV
0.3054545454545454,0.6666666666666666,SUV
0.4181818181818181,0.6666666666666666,SUV
0.5163636363636364,0.9999999999999999,SUV
0.5163636363636364,0.9999999999999999,SUV
0.26181818181818184,0.6666666666666666,Sedan
0.27636363636363637,0.6666666666666666,Sedan
0.4363636363636363,0.6666666666666666,SUV
0.5309090909090909,0.6666666666666666,SUV
0.25090909090909086,0.6666666666666666,Sedan
0.28727272727272724,0.6666666666666666,Sedan
0.5127272727272727,0.9999999999999999,SUV
0.38181818181818183,0.6666666666666666,Pickup
0.40727272727272723,0.9999999999999999,SUV
0.3745454545454545,0.6666666666666666,SUV
0.33818181818181814,0.6666666666666666,Sedan
0.47272727272727266,0.6666666666666666,Sedan
0.2981818181818182,0.6666666666666666,SUV
0.3527272727272728,0.6666666666666666,SUV
0.26909090909090905,0.6666666666666666,Sedan
0.3745454545454545,0.6666666666666666,SUV
0.18545454545454546,0.9999999999999999,SUV
0.3490909090909091,0.6666666666666666,Sedan
0.04000000000000001,0.6666666666666666,SUV
0.28727272727272724,0.6666666666666666,Jeep
0.3527272727272728,0.6666666666666666,Sedan
0.2909090909090909,0.6666666666666666,SUV
0.3345454545454546,0.6666666666666666,SUV
0.24363636363636362,0.6666666666666666,SUV
0.4363636363636363,0.6666666666666666,SUV
0.4036363636363637,0.9999999999999999,SUV
0.38909090909090904,0.6666666666666666,Pickup
0.2909090909090909,0.6666666666666666,SUV
0.28727272727272724,0.33333333333333337,Jeep
0.2909090909090909,0.6666666666666666,Sedan
0.6218181818181818,0.9999999999999999,Van
0.3527272727272728,0.9999999999999999,SUV
0.5345454545454545,0.9999999999999999,SUV
0.39636363636363636,0.6666666666666666,SUV
0.2545454545454545,0.6666666666666666,Sedan
0.4,0.6666666666666666,SUV
0.25090909090909086,0.6666666666666666,Sedan
0.3090909090909091,0.6666666666666666,Sedan
0.3163636363636364,0.6666666666666666,Sedan
0.10181818181818181,0.0,Jeep
0.3854545454545455,0.6666666666666666,SUV
0.29454545454545455,0.9999999999999999,SUV
0.29454545454545455,0.9999999999999999,SUV
0.26181818181818184,0.6666666666666666,SUV
0.33090909090909093,0.6666666666666666,Sedan
0.2654545454545455,0.6666666666666666,Pickup
0.3163636363636364,0.6666666666666666,Sedan
0.34545454545454546,0.6666666666666666,Pickup
0.2836363636363637,0.6666666666666666,Sedan
0.31272727272727274,0.6666666666666666,SUV
0.5272727272727272,0.6666666666666666,SUV
0.509090909090909,0.9999999999999999,Van
0.2290909090909091,0.6666666666666666,Sedan
0.5272727272727272,0.6666666666666666,Pickup
0.27636363636363637,0.6666666666666666,Sedan
0.2727272727272727,0.6666666666666666,Sedan
0.49090909090909085,0.6666666666666666,SUV
0.4036363636363637,0.6666666666666666,SUV
0.38909090909090904,0.6666666666666666,Pickup
0.2836363636363637,0.6666666666666666,SUV
0.3236363636363636,0.9999999999999999,SUV
0.34545454545454546,0.9999999999999999,SUV
0.26909090909090905,0.6666666666666666,SUV
0.2727272727272727,0.6666666666666666,Pickup
0.17090909090909093,0.6666666666666666,Jeep
0.4,0.6666666666666666,Pickup
0.29454545454545455,0.6666666666666666,Sedan
0.6,0.9999999999999999,Van
0.39636363636363636,0.9999999999999999,SUV
0.2581818181818182,0.6666666666666666,Sedan
0.1636363636363636,0.0,Jeep
0.2545454545454545,0.6666666666666666,Jeep
0.38909090909090904,0.6666666666666666,Pickup
0.32727272727272727,0.6666666666666666,SUV
0.3490909090909091,0.6666666666666666,SUV
0.29454545454545455,0.6666666666666666,SUV
0.38909090909090904,0.6666666666666666,Pickup
