Make,Volume,Doors,Style
Lexus,107.9,4,SUV
Nissan,92.4,4,SUV
Nissan,105.8,4,SUV
Porsche ,89,4,SUV
Jeep,70.8,2,Jeep
Toyota,97.6,4,SUV
Toyota,88.6,4,Sedan
Ford,120,4,Pickup
Tesla,104,4,Sedan
Honda,97.8,4,Sedan
